person_id,country_of_origin,entry_type,previous_profession,current_profession,years_in_us,english_level,education_level,hours_per_week,annual_income,stress_level,job_satisfaction,employment_type,income_per_hour
1,Mexico,undocumented,farmer,IT,6,advanced,high_school,43,103069,9,7,part-time,46.09525939177102
2,Philippines,undocumented,farmer,IT,3,advanced,high_school,39,91604,9,8,self-employed,45.16962524654832
3,China,student_visa,accountant,delivery,10,intermediate,high_school,60,46283,4,3,full-time,14.834294871794873
4,China,work_visa,driver,office,7,advanced,associate,59,42814,7,7,full-time,13.955019556714472
5,India,tourist_visa,nurse,office,9,basic,master,41,29941,4,8,full-time,14.043621013133208
6,Colombia,undocumented,farmer,office,5,advanced,high_school,54,32779,7,5,part-time,11.673433048433049
7,China,undocumented,accountant,construction,2,intermediate,master,62,35421,5,5,self-employed,10.98666253101737
8,Philippines,marriage,engineer,cleaning,8,advanced,associate,56,35716,10,7,part-time,12.26510989010989
9,Mexico,work_visa,accountant,construction,8,advanced,master,59,56476,9,4,self-employed,18.40808344198175
10,Brazil,marriage,construction_worker,cleaning,1,advanced,high_school,55,33179,8,3,full-time,11.60104895104895
11,Brazil,marriage,driver,IT,6,advanced,master,39,91621,6,4,full-time,45.17800788954635
12,China,marriage,farmer,office,8,basic,master,46,28642,5,5,part-time,11.974080267558529
13,India,work_visa,nurse,IT,8,advanced,associate,45,120881,9,7,self-employed,51.65854700854701
14,Mexico,marriage,accountant,healthcare,10,advanced,bachelor,44,78332,9,4,full-time,34.23601398601399
15,Brazil,work_visa,construction_worker,office,4,advanced,associate,53,48042,8,3,self-employed,17.43178519593614
16,China,work_visa,teacher,cleaning,4,intermediate,bachelor,54,42996,7,3,self-employed,15.311965811965813
17,Mexico,marriage,accountant,construction,2,basic,high_school,58,47445,10,5,self-employed,15.731100795755967
18,India,work_visa,teacher,healthcare,7,intermediate,bachelor,39,63997,7,4,full-time,31.556706114398423
19,India,student_visa,nurse,cleaning,1,advanced,associate,44,39629,8,6,part-time,17.320367132867133
