person_id,country_of_origin,entry_type,previous_profession,current_profession,years_in_us,english_level,education_level,hours_per_week,annual_income,stress_level,job_satisfaction,employment_type
1,Mexico,undocumented,farmer,IT,6,advanced,high_school,43,103069,9,7,part-time
2,Philippines,undocumented,farmer,IT,3,advanced,high_school,39,91604,9,8,self-employed
3,China,student_visa,accountant,delivery,10,intermediate,high_school,60,46283,4,3,full-time
4,China,work_visa,driver,office,7,advanced,associate,59,42814,7,7,full-time
5,India,tourist_visa,nurse,office,9,basic,master,41,29941,4,8,full-time
6,Colombia,undocumented,farmer,office,5,advanced,high_school,54,32779,7,5,part-time
7,China,undocumented,accountant,construction,2,intermediate,master,62,35421,5,5,self-employed
8,Philippines,marriage,engineer,cleaning,8,advanced,associate,56,35716,10,7,part-time
9,Mexico,work_visa,accountant,construction,8,advanced,master,59,56476,9,4,self-employed
10,Brazil,marriage,construction_worker,cleaning,1,advanced,high_school,55,33179,8,3,full-time
11,Brazil,marriage,driver,IT,6,advanced,master,39,91621,6,4,full-time
12,China,marriage,farmer,office,8,basic,master,46,28642,5,5,part-time
13,India,work_visa,nurse,IT,8,advanced,associate,45,120881,9,7,self-employed
14,Mexico,marriage,accountant,healthcare,10,advanced,bachelor,44,78332,9,4,full-time
15,Brazil,work_visa,construction_worker,office,4,advanced,associate,53,48042,8,3,self-employed
16,China,work_visa,teacher,cleaning,4,intermediate,bachelor,54,42996,7,3,self-employed
17,Mexico,marriage,accountant,construction,2,basic,high_school,58,47445,10,5,self-employed
18,India,work_visa,teacher,healthcare,7,intermediate,bachelor,39,63997,7,4,full-time
19,India,student_visa,nurse,cleaning,1,advanced,associate,44,39629,8,6,part-time
20,Mexico,work_visa,police_officer,delivery,5,basic,master,48,33488,8,5,self-employed
21,Brazil,undocumented,driver,office,10,intermediate,associate,45,46844,5,7,part-time
22,Colombia,student_visa,teacher,cleaning,12,basic,high_school,54,41787,10,7,part-time
23,India,student_visa,farmer,office,4,basic,associate,56,26977,5,8,full-time
24,Mexico,marriage,engineer,cleaning,3,advanced,associate,49,29758,4,6,full-time
25,China,work_visa,teacher,IT,1,intermediate,associate,48,74511,8,4,full-time
26,India,tourist_visa,construction_worker,cleaning,11,advanced,bachelor,42,29379,7,8,full-time
27,India,undocumented,engineer,office,6,basic,high_school,42,25829,5,7,part-time
28,Philippines,work_visa,farmer,IT,8,intermediate,high_school,43,98211,5,3,self-employed
29,Mexico,student_visa,farmer,construction,1,intermediate,associate,61,47518,10,8,self-employed
30,Philippines,marriage,police_officer,construction,8,basic,associate,60,36088,7,6,part-time
31,Brazil,work_visa,nurse,delivery,11,basic,master,40,37210,8,8,part-time
32,Colombia,undocumented,accountant,construction,10,advanced,bachelor,67,33558,7,5,self-employed
